batch_id,index,operation,status,error,message,entity_id,raw_input
47826,71,set_statement,Done,,,Q3764682,"Q3764682|P5063|""i42894"""
47826,72,set_statement,Done,,,Q2186171,"Q2186171|P8814|""01449972-n"""
47826,73,set_statement,Done,,,Q2186171,"Q2186171|P5063|""i42902"""
47826,74,set_statement,Done,,,Q106378315,"Q106378315|P8814|""01453591-n"""
47826,75,set_statement,Done,,,Q106378315,"Q106378315|P5063|""i42923"""
47826,76,set_statement,Done,,,Q106378251,"Q106378251|P8814|""01453756-n"""
47826,77,set_statement,Done,,,Q106378251,"Q106378251|P5063|""i42924"""
47826,78,set_statement,Done,,,Q106377954,"Q106377954|P8814|""01454986-n"""
47826,79,set_statement,Done,,,Q106377954,"Q106377954|P5063|""i42932"""
47826,80,set_statement,Done,,,Q1278796,"Q1278796|P8814|""01456116-n"""
47826,81,set_statement,Done,,,Q1278796,"Q1278796|P5063|""i42940"""
47826,82,set_statement,Done,,,Q203572,"Q203572|P8814|""01457958-n"""
47826,83,set_statement,Done,,,Q203572,"Q203572|P5063|""i42950"""
47826,84,set_statement,Done,,,Q106436344,"Q106436344|P8814|""01458778-n"""
47826,85,set_statement,Done,,,Q106436344,"Q106436344|P5063|""i42955"""
47826,86,set_statement,Done,,,Q2380746,"Q2380746|P8814|""01459095-n"""
47826,87,set_statement,Done,,,Q2380746,"Q2380746|P5063|""i42957"""
47826,88,set_statement,Done,,,Q1966255,"Q1966255|P8814|""01460493-n"""
47826,89,set_statement,Done,,,Q1966255,"Q1966255|P5063|""i42966"""
47826,90,set_statement,Done,,,Q385764,"Q385764|P8814|""01480516-n"""
47826,91,set_statement,Done,,,Q385764,"Q385764|P5063|""i43068"""
47826,92,set_statement,Done,,,Q780327,"Q780327|P8814|""01481610-n"""
47826,93,set_statement,Done,,,Q780327,"Q780327|P5063|""i43073"""
47826,94,set_statement,Done,,,Q1160972,"Q1160972|P8814|""01484139-n"""
47826,95,set_statement,Done,,,Q1160972,"Q1160972|P5063|""i43089"""
47826,96,set_statement,Done,,,Q312293,"Q312293|P8814|""01485662-n"""
47826,97,set_statement,Done,,,Q312293,"Q312293|P5063|""i43095"""
47826,98,set_statement,Done,,,Q207630,"Q207630|P8814|""01487088-n"""
47826,99,set_statement,Done,,,Q207630,"Q207630|P5063|""i43104"""
47826,100,set_statement,Done,,,Q185260,"Q185260|P8814|""01488120-n"""
47826,101,set_statement,Done,,,Q185260,"Q185260|P5063|""i43110"""
47826,102,set_statement,Done,,,Q756859,"Q756859|P8814|""01489479-n"""
47826,103,set_statement,Done,,,Q756859,"Q756859|P5063|""i43118"""
47826,104,set_statement,Done,,,Q625161,"Q625161|P8814|""01490147-n"""
47826,105,set_statement,Done,,,Q625161,"Q625161|P5063|""i43121"""
47826,106,set_statement,Done,,,Q190469,"Q190469|P8814|""01492142-n"""
