batch_id,index,operation,status,error,message,entity_id,raw_input
47843,0,set_statement,Done,,,Q1315689,"Q1315689|P8814|""01563434-n"""
47843,1,set_statement,Done,,,Q1315689,"Q1315689|P5063|""i43470"""
47843,2,set_statement,Done,,,Q25635419,"Q25635419|P8814|""04420036-n"""
47843,3,set_statement,Done,,,Q25635419,"Q25635419|P5063|""i60131"""
47843,4,set_statement,Done,,,Q3771516,"Q3771516|P8814|""04552265-n"""
47843,5,set_statement,Done,,,Q3771516,"Q3771516|P5063|""i60918"""
47843,6,set_statement,Done,,,Q19877481,"Q19877481|P8814|""06931708-n"""
47843,7,set_statement,Done,,,Q19877481,"Q19877481|P5063|""i72903"""
47843,8,set_statement,Done,,,Q1685165,"Q1685165|P8814|""09828217-n"""
47843,9,set_statement,Done,,,Q1685165,"Q1685165|P5063|""i88294"""
47843,10,set_statement,Done,,,Q9304839,"Q9304839|P8814|""10745683-n"""
47843,11,set_statement,Done,,,Q9304839,"Q9304839|P5063|""i93755"""
47843,12,set_statement,Done,,,Q1313618,"Q1313618|P8814|""14268208-n"""
47843,13,set_statement,Done,,,Q1313618,"Q1313618|P5063|""i111775"""
47843,14,set_statement,Done,,,Q49333691,"Q49333691|P8814|""09009061-n"""
47843,15,set_statement,Done,,,Q49333691,"Q49333691|P5063|""i83914"""
47843,16,set_statement,Done,,,Q320665,"Q320665|P8814|""01691722-n"""
47843,17,set_statement,Done,,,Q320665,"Q320665|P5063|""i44181"""
