Q187668	P8814	"00056907-n"
Q187668	P5063	"i35700"
Q366	P8814	"00160216-n"
Q366	P5063	"i36249"
Q946865	P8814	"00213054-n"
Q946865	P5063	"i36519"
Q2736	P8814	"00479273-n"
Q2736	P5063	"i37904"
Q11030	P8814	"00612961-n"
Q11030	P5063	"i38640"
Q36389	P8814	"00828342-n"
Q36389	P5063	"i39748"
Q2223653	P8814	"01249244-n"
Q2223653	P5063	"i41928"
Q1806636	P8814	"01333493-n"
Q1806636	P5063	"i42344"
Q158856	P8814	"01335581-n"
Q158856	P5063	"i42357"
Q614156	P8814	"01352867-n"
Q614156	P5063	"i42424"
Q10424114	P8814	"01353126-n"
Q10424114	P5063	"i42425"
Q153875	P8814	"01353342-n"
Q153875	P5063	"i42426"
Q22112649	P8814	"01363754-n"
Q22112649	P5063	"i42470"
Q129574636	P8814	"01367113-n"
Q129574636	P5063	"i42491"
Q62643569	P8814	"01367763-n"
Q62643569	P5063	"i42494"
Q3246268	P8814	"01368115-n"
Q3246268	P5063	"i42496"
Q25419	P8814	"01370979-n"
Q25419	P5063	"i42510"
Q22111431	P8814	"01372125-n"
Q22111431	P5063	"i42517"
Q265094	P8814	"01373106-n"
Q265094	P5063	"i42522"
Q62869749	P8814	"01375585-n"
Q62869749	P5063	"i42537"
Q7623385	P8814	"01379184-n"
Q7623385	P5063	"i42557"
Q12321467	P8814	"01379288-n"
Q12321467	P5063	"i42558"
Q130971	P8814	"01379919-n"
Q130971	P5063	"i42562"
Q155891	P8814	"01380445-n"
Q155891	P5063	"i42567"
Q132644	P8814	"01382939-n"
Q132644	P5063	"i42579"
Q68189616	P8814	"01408499-n"
Q68189616	P5063	"i42715"
Q4963539	P8814	"01417274-n"
Q4963539	P5063	"i42763"
Q104919807	P8814	"01417780-n"
Q104919807	P5063	"i42766"
Q104912737	P8814	"01420315-n"
Q104912737	P5063	"i42778"
Q524818	P8814	"01421139-n"
Q524818	P5063	"i42783"
Q144534	P8814	"01443108-n"
Q144534	P5063	"i42859"
Q1979063	P8814	"01444383-n"
Q1979063	P5063	"i42867"
Q106388817	P8814	"01444551-n"
Q106388817	P5063	"i42868"
Q214278	P8814	"01445613-n"
Q214278	P5063	"i42876"
Q136536	P8814	"01448234-n"
Q136536	P5063	"i42892"
Q3764682	P8814	"01448498-n"
Q3764682	P5063	"i42894"
Q2186171	P8814	"01449972-n"
Q2186171	P5063	"i42902"
Q106378315	P8814	"01453591-n"
Q106378315	P5063	"i42923"
Q106378251	P8814	"01453756-n"
Q106378251	P5063	"i42924"
Q106377954	P8814	"01454986-n"
Q106377954	P5063	"i42932"
Q1278796	P8814	"01456116-n"
Q1278796	P5063	"i42940"
Q203572	P8814	"01457958-n"
Q203572	P5063	"i42950"
Q106436344	P8814	"01458778-n"
Q106436344	P5063	"i42955"
Q2380746	P8814	"01459095-n"
Q2380746	P5063	"i42957"
Q1966255	P8814	"01460493-n"
Q1966255	P5063	"i42966"
Q385764	P8814	"01480516-n"
Q385764	P5063	"i43068"
Q780327	P8814	"01481610-n"
Q780327	P5063	"i43073"
Q1160972	P8814	"01484139-n"
Q1160972	P5063	"i43089"
Q312293	P8814	"01485662-n"
Q312293	P5063	"i43095"
Q207630	P8814	"01487088-n"
Q207630	P5063	"i43104"
Q185260	P8814	"01488120-n"
Q185260	P5063	"i43110"
Q756859	P8814	"01489479-n"
Q756859	P5063	"i43118"
Q625161	P8814	"01490147-n"
Q625161	P5063	"i43121"
Q190469	P8814	"01492142-n"
Q190469	P5063	"i43130"
Q304539	P8814	"01492350-n"
Q304539	P5063	"i43131"
Q206495	P8814	"01493311-n"
Q206495	P5063	"i43136"
Q26337	P8814	"01493647-n"
Q26337	P5063	"i43138"
Q260097	P8814	"01495210-n"
Q260097	P5063	"i43147"
Q941962	P8814	"01495349-n"
Q941962	P5063	"i43148"
Q2619358	P8814	"01495501-n"
Q2619358	P5063	"i43149"
Q212694	P8814	"01496470-n"
Q212694	P5063	"i43155"
Q1150019	P8814	"01497523-n"
