wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
11804792-n,tuberous or rhizomatous herbaceous perennials,i99227,Arisaema|genus Arisaema,Q133284
11805569-n,tuberous or rhizomatous perennial herbs; mainly Mediterranean area,i99230,Arisarum|genus Arisarum,Q2447519
11805944-n,small genus of tropical South American tuberous perennials with large variously colored leaves,i99232,genus Caladium,Q1521382
11806486-n,water arum,i99235,Calla|genus Calla,Q1945962
11806834-n,small genus of perennial tuberous herbs of tropical Asia: taro,i99237,Colocasia|genus Colocasia,Q310882
11807860-n,evergreen perennial herbs of tropical America with lush foliage and poisonous sap; often cultivated as houseplants,i99242,Dieffenbachia|genus Dieffenbachia,Q738915
11809005-n,small genus of evergreen lianas of southeastern Asia to western Pacific areas,i99248,Epipremnum|genus Epipremnum,Q1295844
11809395-n,skunk cabbage,i99250,Lysichiton|genus Lysichiton|Lysichitum|genus Lysichitum,Q1784347
11810708-n,one species of aquatic plant: golden club,i99258,Orontium|genus Orontium,Q11799321
11811093-n,small genus of North American marsh or aquatic herbs,i99260,Peltandra|genus Peltandra,Q578875
11811915-n,one species: water lettuce,i99265,genus Pistia,Q13077266
11812288-n,evergreen climbers with adhesive adventitious roots; southeastern Asia and Brazil,i99267,Scindapsus|genus Scindapsus|genus Pothos,Q2624761
11813067-n,one species: skunk cabbage,i99271,Symplocarpus|genus Symplocarpus,Q7233044
11813501-n,epiphytic or terrestrial climbing shrubs of Central and South America; used as ornamental houseplants for their velvety foliage,i99273,Syngonium|genus Syngonium,Q2448411
11814736-n,family of small free-floating thalloid plants,i99280,Lemnaceae|family Lemnaceae|duckweed family,Q14293890
11815835-n,minute aquatic herbs floating on the water surface consisting of a shiny leaflike frond and 2-21 roots,i99285,Spirodela|genus Spirodela,Q161458
11816243-n,minute rootless aquatic herbs having globular fronds floating on or near the water surface and bearing one flower per frond,i99287,Wolffia|genus Wolffia,Q163015
11816787-n,minute rootless aquatic herbs having flat fronds floating on or below the water surface and bearing 1-2 flowers per frond; America and Africa,i99290,Wolffiella|genus Wolffiella,Q9377653
