wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid,wn_qid_candidate,qid_count_original,wd_label,wd_parent,wd_description
12939164-n,poisonous Old World spurge; adventive in America; seeds yield a purgative oil,i104649,caper spurge|myrtle spurge|mole plant|Euphorbia lathyris,Q110382330|Q164223,Q110382330,2,Epurga lathyris,Epurga,species of plant
12621867-n,twining perennial vine having racemes of fragrant greenish flowers; western China to Russia,i103109,silver lace vine|China fleece vine|Russian vine|Polygonum aubertii,Q11093157|Q10350936,Q11093157,2,Fallopia aubertii,Fallopia,species of plant
11762044-n,evergreen aromatic shrubby tree of southeastern United States having small hard berries thickly coated with white wax used for candles,i99035,bay myrtle|puckerbush|Myrica cerifera,Q1109693|Q15377365,Q1109693,2,Morella cerifera,Morella,species of plant
11903797-n,perennial of southern Europe having clusters of fragrant flowers of all colors especially yellow and orange; often naturalized on old walls or cliffs; sometimes placed in genus Erysimum,i99702,wallflower|Cheiranthus cheiri|Erysimum cheiri,Q159370|Q11111735,Q11111735,2,Cheiranthus cheiri,Cheiranthus,species of plant
12844813-n,weakly climbing European perennial with white or pink flowers; naturalized in North America and an invasive weed,i104194,field bindweed|wild morning-glory|Convolvulus arvensis,Q15517213|Q111346,Q111346,2,Convolvulus arvensis,Convolvulus,species of plant
12131916-n,annual or winter annual grass with softly hairy leaves of the Mediterranean,i100794,downy brome|downy bromegrass|downy cheat|downy chess|cheatgrass|drooping brome|Bromus tectorum,Q111417203|Q164128,Q111417203,2,Anisantha tectorum,Anisantha,"species, by (L.) Nevski, 1934, in family Poaceae"
12666958-n,small Chinese shrub with smooth unfurrowed dark red fruit grown especially for its red or pink or white flowers,i103332,dwarf flowering almond|Prunus glandulosa,Q11175489|Q149743,Q11175489,2,Cerasus glandulosa,Prunus subg. Cerasus,species of plant
12812550-n,climbing shrub with adhesive aerial roots having opposite leaves and small white flowers in terminal cymes; Himalayas to Taiwan and Japan,i104043,climbing hydrangea|Schizophragma hydrangeoides,Q92191445|Q11287263,Q11287263,2,Schizophragma hydrangeoides,Schizophragma,species of plant
01790476-n,large marine arthropod of the Atlantic coast of North America having a domed carapace that is shaped like a horseshoe and a stiff pointed tail; a living fossil related to the wood louse,i44686,horseshoe crab|king crab|Limulus polyphemus|Xiphosurus polyphemus,Q1329239|Q1133152,Q1133152,2,Atlantic horseshoe crab,Limulus,species of arthropods
13243988-n,of northern Europe and America; resembling a miniature fir,i106132,fir clubmoss|mountain clubmoss|little clubmoss|Lycopodium selago,Q1142154|Q21976256,Q1142154,2,Huperzia selago,Huperzia,species of plant
11872308-n,arborescent cacti having very spiny cylindrical stem segments; southwestern United States and Mexico,i99557,cholla|Opuntia cholla,Q1147788|Q14946481,Q1147788,2,Cylindropuntia cholla,Cylindropuntia,species of plant
12940163-n,annual spurge of western United States having showy white-bracted flower clusters and very poisonous milk,i104654,snow-on-the-mountain|snow-in-summer|ghost weed|Euphorbia marginata,Q117845990|Q1152788,Q1152788,2,Euphorbia marginata,Euphorbia sect. Alectoroctonum,species of plant
01452353-n,small stocky Mexican fish; popular aquarium fish,i42916,platy|Platypoecilus maculatus,Q1162971|Q109540926,Q1162971,2,Xiphophorus maculatus,Xiphophorus,species of fish
02445646-n,usually rich dark brown,i48483,American mink|Mustela vison,Q116910164|Q50407587,Q116910164,2,,,
02118293-n,wolflike yellowish-brown wild dog of Australia,i46557,dingo|warrigal|warragal|Canis dingo,Q5032447|Q117011854,Q117011854,2,Canis dingo,Canis,species of mammal
12939955-n,common perennial United States spurge having showy white petallike bracts,i104653,wild spurge|flowering spurge|tramp's spurge|Euphorbia corollata,Q117838085|Q5410423,Q117838085,2,Agaloma corollata,Agaloma,species of plant
12941281-n,showy poinsettia found from the southern United States to Peru,i104659,Japanese poinsettia|mole plant|paint leaf|Euphorbia heterophylla,Q117845540|Q3060418,Q117845540,2,Cyathophora heterophylla,Cyathophora,species of plant
12940163-n,annual spurge of western United States having showy white-bracted flower clusters and very poisonous milk,i104654,snow-on-the-mountain|snow-in-summer|ghost weed|Euphorbia marginata,Q117845990|Q1152788,Q117845990,2,Dichrophyllum marginatum,Dichrophyllum,species of plant
12942259-n,Mexican shrub often cultivated for its scarlet-bracted flowers,i104664,scarlet plume|Euphorbia fulgens,Q117953175|Q4301001,Q117953175,2,Trichosterigma fulgens,Trichosterigma,species of plant
02053463-n,small European grebe,i46171,dabchick|little grebe|Podiceps ruficollis,Q25421|Q11846961,Q11846961,2,Podiceps ruficollis,Podiceps,species of bird
11921763-n,Old World alpine poppy with white or yellow to orange flowers,i99789,Iceland poppy|Papaver alpinum,Q119149737|Q149346,Q119149737,2,Oreomecon alpina,Oreomecon,Flowering plant species in the poppy family
11922228-n,subarctic perennial poppy of both hemispheres having fragrant white or yellow to orange or peach flowers,i99792,Iceland poppy|arctic poppy|Papaver nudicaule,Q119150816|Q148824,Q119150816,2,Oreomecon nudicaulis,Oreomecon,Plant species in the poppy family
13077109-n,a fungus that has an off-white cap when it is young but later becomes dingy brown and a stalk of the same color; the under surface of the cap (the tubes) a pale greenish yellow,i105332,Boletus pallidus,Q107799045|Q12200203,Q12200203,2,Boletus pallidus,Boletus,species of fungus
12203132-n,arborescent perennial shrub having palmately lobed furry leaves and showy red-purple flowers; southwestern United States,i101152,tree mallow|velvetleaf|velvet-leaf|Lavatera arborea,Q12210226|Q811549,Q12210226,2,Malva arborea,Malva,species of plant
12700193-n,common North American shrub or small tree,i103495,American red elder|red-berried elder|stinking elder|Sambucus pubens,Q3470723|Q12210848,Q12210848,2,Sambucus pubens,Sambucus,species of plant
02128146-n,nocturnal wildcat of Central America and South America having a dark-spotted buff-brown coat,i46619,ocelot|panther cat|Felis pardalis|Leopardus pardalis,Q33261|Q122170181,Q122170181,2,Felis pardalis,cats,species of mammal
12363015-n,tall North American perennial with creeping rootstocks and narrow leaves and spikes of pinkish-purple flowers occurring in great abundance in burned-over areas or recent clearings; an important honey plant,i101896,fireweed|giant willowherb|rosebay willowherb|wickup|Epilobium angustifolium,Q160104|Q12217056,Q12217056,2,Epilobium angustifolium,Epilobium,species of plant
02463082-n,large shaggy-haired toothless anteater with long tongue and powerful claws; of South America,i48589,ant bear|giant anteater|great anteater|tamanoir|Myrmecophaga jubata,Q203033|Q122259133,Q122259133,2,Myrmecophaga jubata,Myrmecophaga,species of mammal
02136356-n,bear with a black coat living in central and eastern Asia,i46669,Asiatic black bear|black bear|Ursus thibetanus|Selenarctos thibetanus|Arcticonus thibetanus,Q122451771|Q124410,Q122451771,2,Arcticonus thibetanus,Arcticonus,species of mammal
02129117-n,medium-sized wildcat of Central America and South America having a dark-striped coat,i46625,tiger cat|Felis tigrina,Q205948|Q122653137,Q122653137,2,Felis tigrina,cats,species of mammal
02434622-n,small deer of Japan with slightly forked antlers,i48418,Japanese deer|sika|Cervus nippon|Cervus sika,Q122701031|Q190516,Q122701031,2,Sika nippon,Sika,species of mammal
02128969-n,small spotted wildcat of southern Asia and Malaysia,i46624,leopard cat|Felis bengalensis|Prionailurus bengalensis,Q42627|Q122748829,Q122748829,2,Felis bengalensis,cats,species of mammal
11762266-n,deciduous aromatic shrub of eastern North America with grey-green wax-coated berries,i99036,bayberry|candleberry|swamp candleberry|waxberry|Myrica pensylvanica,Q3331585|Q12331270,Q12331270,2,Myrica pensylvanica,Myrica,species of plant
02321960-n,a sea urchin that can be eaten,i47737,edible sea urchin|Echinus esculentus,Q124657158|Q664443,Q124657158,2,Sphaerechinus esculentus,Sphaerechinus,species of echinoderm
11731296-n,American deciduous magnolia having large leaves and fruit like a small cucumber,i98882,cucumber tree|Magnolia acuminata,Q93448763|Q1249099,Q1249099,2,Magnolia acuminata,Magnolia,species of plant
02445299-n,the common American weasel distinguished by large size and black-tipped tail,i48481,longtail weasel|long-tailed weasel|Mustela frenata,Q125749307|Q720696,Q125749307,2,Neogale frenata,Neogale,species of mammal
83443092-n,a jackal native to Africa with a black back,,jackal|Canis mesomelas|black-backed jackal,Q125814326|Q188944,Q125814326,2,black-backed jackal,Lupulella,species of mammal
85147429-n,a jackal native to Southern Africa with a stripe down its side,,jackal|Canis adustus|side-striped jackal,Q125815593|Q208079,Q125815593,2,side-striped jackal,Lupulella,species of mammal
01838559-n,large whippoorwill-like bird of the southern United States,i44983,chuck-will's-widow|Caprimulgus carolinensis,Q1262147|Q106447031,Q1262147,2,Chuck-will's-widow,Antrostomus,species of bird
12527496-n,perennial Eurasian herb having heads of red or yellow flowers and common in meadows and pastures; formerly used medicinally for kidney disorders,i102656,kidney vetch|Anthyllis vulneraria,Q92988397|Q126256,Q126256,2,Anthyllis vulneraria,Anthyllis,species of plant
01838728-n,American nocturnal goatsucker with grey-and-white plumage,i44984,whippoorwill|Caprimulgus vociferus,Q1268205|Q25658709,Q1268205,2,Eastern Whip-poor-will,Antrostomus,species of bird
12357103-n,medium-sized swamp gum of New South Wales and Victoria,i101863,mountain swamp gum|Eucalyptus camphora,Q66115606|Q12839325,Q12839325,2,Eucalyptus camphora,Eucalyptus,species of plant
12880439-n,fragrant California annual herb having lanceolate leaves and clusters of rose-purple flowers,i104373,mustang mint|Monardella lanceolata,Q32852632|Q12842241,Q12842241,2,Monardella lanceolata,Monardella,species of plant
12153668-n,tough Asiatic grass whose culms are used for ropes and baskets,i100912,munj|munja|Saccharum bengalense|Saccharum munja,Q93077342|Q12845384|Q3630865,Q12845384,3,Saccharum bengalense,Saccharum,species of plant
12821832-n,small plant with leaves in a basal cluster and tiny greenish flowers in slender racemes; northwestern North America to California and Colorado,i104083,five-point bishop's cap|Mitella pentandra,Q15606119|Q12901065,Q12901065,2,Mitella pentandra,Mitella,species of plant
01572064-n,similar to Audubon's warbler,i43522,myrtle warbler|myrtle bird|Dendroica coronata,Q2192309|Q1294154,Q1294154,2,Dendroica coronata,Setophaga,species of bird
12456154-n,pungent Old World weedy plant,i102336,wild garlic|wood garlic|ramsons|Allium ursinum,Q92558539|Q130882,Q130882,2,Allium ursinum,Allium,"species of plant, herb"
11866382-n,large cactus of east central Mexico having golden to pale yellow flowers and spines,i99526,golden barrel cactus|Echinocactus grusonii,Q42751825|Q131270,Q131270,2,Echinocactus grusonii,Echinocactus,species of plant
13054337-n,a morel whose pitted fertile body is attached to the stalk with little free skirt around it; the fertile body is grey when young and black in old age,i105227,black morel|Morchella conica|conic morel|Morchella angusticeps|narrowhead morel,Q108657321|Q1327882,Q1327882,2,Morchella conica,Morchella,species of fungus
02506644-n,Asian elephant having smaller ears and tusks primarily in the male,i48835,Indian elephant|Elephas maximus,Q591305|Q133006,Q133006,2,Asian elephant,Elephas,species of mammal
12807224-n,perennial northern temperate plant with toothed leaves and heads of small purplish-white flowers,i104018,orpine|orpin|livelong|live-forever|Sedum telephium,Q1327535|Q13390371,Q13390371,2,Sedum telephium,Sedum,species of plant
01653331-n,a small brown tree toad having a shrill call heard near wetlands of eastern United States and Canada in early spring,i43992,spring peeper|Hyla crucifer,Q135015|Q109526434,Q135015,2,Spring Peeper,Pseudacris,species of amphibian
11676574-n,Tasmanian timber tree with yellow aromatic wavy-grained wood used for carving and ship building; sometimes placed in genus Dacrydium,i98620,huon pine|Lagarostrobus franklinii|Dacrydium franklinii,Q137400|Q17363776,Q137400,2,Lagarostrobos franklinii,Lagarostrobos,"species of plant, from Tasmania"
11674889-n,New Zealand silver pine of conical habit with long slender flexuous branches; adapted to cold wet summers and high altitudes,i98612,tarwood|tar-wood|Dacrydium colensoi,Q138261|Q17363786,Q138261,2,Manoao colensoi,Manoao,species of plant
11868478-n,spring-blooming South American cactus with oblong joints and coral-red flowers; sometimes placed in genus Schlumbergera,i99537,Easter cactus|Hatiora gaertneri|Schlumbergera gaertneri,Q3153249|Q138282,Q138282,2,Hatiora gaertneri,Hatiora,species of plant
11953856-n,rhizomatous perennial wood aster of eastern North America with white flowers,i99929,white wood aster|Aster divaricatus,Q19848818|Q13911606,Q13911606,2,Aster divaricatus,Aster,species of plant
11954372-n,perennial of western North America having white flowers,i99932,white prairie aster|Aster falcatus,Q13955505|Q38782261,Q13955505,2,Symphyotrichum falcatum,Symphyotrichum,Species of flowering plant in family Asteraceae
12948518-n,Chinese tree bearing seeds that yield tung oil,i104695,tung tree|tung|tung-oil tree|Aleurites fordii,Q1422363|Q38926734,Q1422363,2,Vernicia fordii,Vernicia,species of plant
12140056-n,a dune grass of the Pacific seacoast used as a sand binder,i100839,sea lyme grass|European dune grass|Elymus arenarius|Leymus arenaria,Q1426766|Q21874166,Q1426766,2,Leymus arenarius,Leymus,species of plant
88957229-n,"an annual herb that grows in open grasslands, roadsides and pathways that originates in the Americas and is used in traditional herbal medicine",,Euphorbia hirta,Q14549482|Q36177,Q14549482,2,Chamaesyce hirta,Chamaesyce,species of plant
12679069-n,Eurasian tree with orange-red berrylike fruits,i103392,rowan|rowan tree|European mountain ash|Sorbus aucuparia,Q87645461|Q146198,Q146198,2,Sorbus aucuparia,Sorbus,species of plant
01597609-n,North American swallow that lives in colonies and builds bottle-shaped mud nests on cliffs and walls,i43680,cliff swallow|Hirundo pyrrhonota,Q1591775|Q14624738,Q14624738,2,Hirundo pyrrhonota,Hirundo,species of bird
12651402-n,Europe,i103256,wild strawberry|wood strawberry|Fragaria vesca,Q50857565|Q146684,Q146684,2,Fragaria vesca,Fragaria,species of plant
02493442-n,the smallest monkey; of tropical forests of the Amazon,i48759,pygmy marmoset|Cebuella pygmaea,Q244361|Q14850405,Q14850405,2,Pygmy marmoset,Cebuella,species of mammal (Cebuella pygmaea)
12597200-n,European purple-flowered with slender stems; occurs as a weed in hedges,i102987,bush vetch|Vicia sepium,Q15525238|Q148570,Q148570,2,Vicia sepium,Vicia,species of plant
11736510-n,blue Egyptian lotus: held sacred by the Egyptians,i98906,blue lotus|Nymphaea caerulea,Q50897106|Q148880,Q148880,2,Nymphaea caerulea,Nymphaea,species of plant
12660497-n,small wild or half-domesticated Eurasian plum bearing small ovoid fruit in clusters,i103299,bullace|Prunus insititia,Q149195|Q10878191,Q149195,2,Prunus domestica subsp. insititia,Prunus domestica,subspecies of plant
11921763-n,Old World alpine poppy with white or yellow to orange flowers,i99789,Iceland poppy|Papaver alpinum,Q119149737|Q149346,Q149346,2,Papaver alpinum,Papaver,species of plant
12266402-n,trailing red-fruited plant,i101424,American cranberry|large cranberry|Vaccinium macrocarpon,Q50852926|Q149397,Q149397,2,Vaccinium macrocarpon,Vaccinium sect. Oxycoccus,species of plant
11872308-n,arborescent cacti having very spiny cylindrical stem segments; southwestern United States and Mexico,i99557,cholla|Opuntia cholla,Q1147788|Q14946481,Q14946481,2,Opuntia cholla,Opuntia,species of plant
12752595-n,poplar of northeastern North America with broad heart-shaped leaves,i103747,balsam poplar|hackmatack|tacamahac|Populus balsamifera,Q15384833|Q149471,Q149471,2,Populus balsamifera,Populus,species of plant
11674355-n,New Zealand evergreen valued for its light easily worked wood,i98609,kahikatea|New Zealand dacryberry|New Zealand white pine|Dacrycarpus dacrydioides|Podocarpus dacrydioides,Q1981615|Q14947698,Q14947698,2,Podocarpus dacrydioides,Podocarpus sect. Dacrycarpus,species of plant
11872497-n,cactus having yellow flowers and purple fruits,i99558,nopal|Opuntia lindheimeri,Q93313162|Q14955003,Q14955003,2,Opuntia lindheimeri,Opuntia,species of plant
12666958-n,small Chinese shrub with smooth unfurrowed dark red fruit grown especially for its red or pink or white flowers,i103332,dwarf flowering almond|Prunus glandulosa,Q11175489|Q149743,Q149743,2,Prunus glandulosa,Prunus,species of plant
12581814-n,variety of pea plant native to the Mediterranean region and North Africa and widely grown especially for forage,i102913,field pea|field-pea plant|Austrian winter pea|Pisum sativum arvense|Pisum arvense,Q149758|Q21876275,Q149758,2,Field pea,Pisum sativum,genus Pisum – subspecies of plant
11778952-n,African tree supposed to mark healthful regions,i99111,fever tree|Acacia xanthophloea,Q15525187|Q1499421,Q1499421,2,Acacia xanthophloea,Acacia,species of plant
11664913-n,Asiatic shrub or small tree widely planted in United States and Europe; in some classifications assigned to its own genus,i98560,Oriental arborvitae|Thuja orientalis|Platycladus orientalis,Q33482|Q15041676,Q15041676,2,Thuja orientalis,Thuja subg. Biota,species of plant
12436100-n,bulbous iris of western Mediterranean region having usually violet-purple flowers,i102245,Spanish iris|xiphium iris|Iris xiphium,Q91363501|Q1505610,Q1505610,2,Iris xiphium,Iris,species of plant
12487523-n,plant of western North America having grasslike leaves and greenish-white flowers,i102484,alkali grass|Zigadenus elegans,Q2853166|Q15221394,Q15221394,2,Zigadenus elegans,Zigadenus,species of plant
12601858-n,a wisteria of China having white flowers,i103007,silky wisteria|Wisteria venusta,Q15532945|Q15235903,Q15235903,2,Wisteria venusta,Wisteria,species of plant
12539594-n,European herb resembling vetch; naturalized in the eastern United States; having umbels of pink-and-white flowers and sharp-angled pods,i102716,axseed|crown vetch|Coronilla varia,Q158908|Q15248508,Q15248508,2,Coronilla varia,Coronilla,species of plant
12371608-n,canna grown especially for its edible rootstock from which arrowroot starch is obtained,i101940,achira|indian shot|arrowroot|Canna indica|Canna edulis,Q163559|Q15250761,Q15250761,2,Canna edulis,Canna,species of plant
11849273-n,rank-smelling tropical American pigweed,i99445,American wormseed|Mexican tea|Spanish tea|wormseed|Chenopodium ambrosioides,Q640032|Q15251066,Q15251066,2,Chenopodium ambrosioides,Chenopodium,species of plant
11969871-n,Eurasian plant with apple-scented foliage and white-rayed flowers and feathery leaves used medicinally; in some classification systems placed in genus Anthemis,i100027,chamomile|camomile|Chamaemelum nobilis|Anthemis nobilis,Q5723577|Q15281388,Q15281388,2,Anthemis nobilis,Anthemis,species of plant
13201953-n,tropical Old World or Australian epiphytic fern frequently forming tufts in tree crotches,i105920,bird's nest fern|Asplenium nidus,Q15283521|Q1736890,Q15283521,2,Neottopteris nidus,Neottopteris,species of plant
11823269-n,wild ginger having persistent heart-shaped pungent leaves; West Virginia to Alabama,i99321,heartleaf|heart-leaf|Asarum shuttleworthii,Q15295890|Q15593271,Q15295890,2,Hexastylis shuttleworthii,Hexastylis,species of plant
12435437-n,low-growing spring-flowering American iris with bright blue-lilac flowers,i102241,dwarf iris|vernal iris|Iris verna,Q42960889|Q15296151,Q15296151,2,Iris verna,Iris,species of plant
13244741-n,ground pine thickly covered with bristly leaves; widely distributed in barren sandy or peaty moist coastal regions of eastern and southeastern United States,i106137,foxtail grass|Lycopodium alopecuroides,Q15321697|Q21976231,Q15321697,2,Lycopodiella alopecuroides,Lycopodiella,species of plant
11924946-n,glaucous herb of northeastern United States and Canada having loose racemes of yellow-tipped pink flowers; sometimes placed in genus Fumaria,i99806,Roman wormwood|rock harlequin|Corydalis sempervirens|Fumaria sempervirens,Q15324515|Q21874304|Q1478395,Q15324515,3,Capnoides sempervirens,Capnoides,species of plant
12456595-n,European leek naturalized in Great Britain; leaves are triangular,i102339,three-cornered leek|triquetrous leek|Allium triquetrum,Q92558489|Q1532690,Q1532690,2,Allium triquetrum,Allium,species of plant
12365354-n,evening-opening primrose of south central United States,i101907,Missouri primrose|Ozark sundrops|Oenothera macrocarpa,Q15330425|Q9373395,Q15330425,2,Megapterium macrocarpum,Megapterium,species of plant
12810737-n,woody climber of southeastern United States having white flowers in compound terminal clusters,i104035,decumary|Decumaria barbata|Decumaria barbara,Q58763080|Q15337547,Q15337547,2,Decumaria barbara,Decumaria,species of plant
13194780-n,mat-forming lithophytic or terrestrial fern with creeping rootstocks and large pinnatifid fronds found throughout North America and Europe and Africa and east Asia,i105884,common polypody|adder's fern|wall fern|golden maidenhair|golden polypody|sweet fern|Polypodium vulgare,Q15337906|Q743883,Q15337906,2,Ctenopteris vulgaris,Ctenopteris,species of plant
13244608-n,"a variety of club moss, commonly called ground pine, prince's pine, or princess pine (Lycopodium obscurum)",i106136,ground fir|princess pine|tree clubmoss|Lycopodium obscurum,Q15338742|Q3281399,Q15338742,2,Dendrolycopodium obscurum,Dendrolycopodium,species of plant
11870452-n,a low tuberculate cactus with white feathery spines; northeastern Mexico,i99547,feather ball|Mammillaria plumosa,Q15339901|Q283486,Q15339901,2,Neomammillaria plumosa,Neomammillaria,species of plant
12879913-n,annual of southern United States,i104370,plains lemon monarda|Monarda pectinata,Q89028606|Q15343760,Q15343760,2,Monarda pectinata,Monarda,species of plant
12365217-n,a day-flowering biennial or perennial of the genus Oenothera,i101906,sundrops|Oenothera fruticosa,Q15345195|Q7078662,Q15345195,2,Kneiffia fruticosa,Kneiffia,species of plant
12724616-n,perennial herb of eastern North America with palmately compound leaves and usually rose-purple flowers,i103617,violet wood sorrel|Oxalis violacea,Q15346873|Q1067933,Q15346873,2,Sassia violacea,Sassia,species of plant
11564466-n,a common liverwort,i98262,hepatica|Marchantia polymorpha,Q15348827|Q992846,Q15348827,2,Jungermannia polymorpha,Jungermannia,species of plant
12410449-n,violet of eastern North America having lilac-purple flowers with a long slender spur,i102125,long-spurred violet|Viola rostrata,Q15357379|Q3024420,Q15357379,2,Lophion rostratum,Lophion,species of plant
12410616-n,leafy-stemmed violet of eastern North America having large white or creamy flowers faintly marked with purple,i102126,pale violet|striped violet|cream violet|Viola striata,Q15357426|Q16736005,Q15357426,2,Lophion striatum,Lophion,species of plant
12898253-n,California plant with slender racemes of white flowers,i104463,white snapdragon|Antirrhinum coulterianum,Q15358127|Q10955022,Q15358127,2,Sairocarpus coulterianus,Sairocarpus,species of plant
12389993-n,stiff shrub having oblong entire leaves and dense cymes of yellow flowers,i102024,shrubby St John's wort|Hypericum prolificum|Hypericum spathulatum,Q15367030|Q17812747,Q15367030,2,Myriandra prolifica,Myriandra,species of plant
11955276-n,North American perennial herb having small autumn-blooming purple or pink or white flowers; widely naturalized in Europe,i99937,Michaelmas daisy|New York aster|Aster novi-belgii,Q1537333|Q15708990,Q1537333,2,Symphyotrichum novi-belgii,Symphyotrichum,Species of flowering plant in family Asteraceae
12274352-n,small shrub of southern and western Australia having pinkish to rosy purple tubular flowers,i101462,Port Jackson heath|Epacris purpurascens,Q65942827|Q15376759,Q15376759,2,Epacris purpurascens,Epacris,species of plant
11762044-n,evergreen aromatic shrubby tree of southeastern United States having small hard berries thickly coated with white wax used for candles,i99035,bay myrtle|puckerbush|Myrica cerifera,Q1109693|Q15377365,Q15377365,2,Myrica cerifera,Myrica,species of plant
12778063-n,deciduous shrub of southeastern and central United States,i103869,bearberry|possum haw|winterberry|Ilex decidua,Q15383155|Q5997670,Q15383155,2,Prinos deciduus,Prinos,species of plant
12752595-n,poplar of northeastern North America with broad heart-shaped leaves,i103747,balsam poplar|hackmatack|tacamahac|Populus balsamifera,Q15384833|Q149471,Q15384833,2,Aigeiros balsamifera,Aigeiros,species of plant
12269811-n,small branching blueberry common in marshy areas of the eastern United States having greenish or yellowish unpalatable berries reputedly eaten by deer,i101440,deerberry|squaw huckleberry|Vaccinium stamineum,Q15386677|Q7907970,Q15386677,2,Polycodium stamineum,Polycodium,species of plant
12264975-n,medium-sized rhododendron of Pacific coast of North America having large rosy brown-spotted flowers,i101417,coast rhododendron|Rhododendron californicum,Q15387197|Q38907276,Q15387197,2,Hymenanthes californica,Hymenanthes,species of plant
12940607-n,tall European perennial naturalized and troublesome as a weed in eastern North America,i104656,leafy spurge|wolf's milk|Euphorbia esula,Q15388851|Q148882,Q15388851,2,Euphorbia paradoxa,Euphorbia,species of plant
12272900-n,plant of southeastern United States having solitary white funnel-shaped flowers flushed with pink and large glossy green leaves that turn bronze-red in fall,i101455,oconee bells|Shortia galacifolia,Q15394339|Q867748,Q15394339,2,Sherwoodia galacifolia,Sherwoodia,species of plant
12684948-n,Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers; cultivated for its medicinal bark,i103422,calisaya|Cinchona officinalis|Cinchona ledgeriana|Cinchona calisaya,Q3091779|Q5120189|Q15399753,Q15399753,3,Cinchona calisaya,Cinchona,species of plant
12832473-n,small California annual with white flowers,i104130,evening-snow|Linanthus dichotomus,Q15400423|Q6550250,Q15400423,2,Navarretia dichotoma,Navarretia,species of plant
12087530-n,a long-spurred orchid with base leaves and petals converging under the upper sepal,i100578,Hooker's orchid|Habenaria hookeri,Q15435811|Q39369033,Q15435811,2,Platanthera hookeri,Platanthera,species of plant
12088639-n,orchid of northeastern and alpine eastern North America closely related to the purple fringed orchids but having rosy-purple or violet flowers with denticulate leaf divisions,i100583,purple fringeless orchid|purple fringeless orchis|Habenaria peramoena,Q15436673|Q39369293,Q15436673,2,Platanthera peramoena,Platanthera,species of plant
11850141-n,annual European plant with spikes of greenish flowers and leaves that are white and hairy on the underside; common as a weed in North America,i99449,oak-leaved goosefoot|oakleaf goosefoot|Chenopodium glaucum,Q17271799|Q1543836,Q1543836,2,Chenopodium glaucum,Chenopodium,species of plant
12089718-n,orchid with slender nearly leafless reddish-brown stems with loose racemes of reddish-brown flowers; of open brushy woods of southeastern Arizona and central Texas,i100588,Texas purple spike|Hexalectris warnockii,Q106899649|Q15467896,Q15467896,2,Hexalectris warnockii,Hexalectris,species of plant
12837889-n,annual of the western United States having large coiled flower spikes; a threatened species,i104158,large-flowered fiddleneck|Amsinckia grandiflora,Q15493011|Q4748790,Q15493011,2,Benthamia grandiflora,Benthamia,species of plant
12532600-n,large spiny shrub of eastern Asia having clusters of yellow flowers; often cultivated in shelterbelts and hedges,i102682,Siberian pea tree|Caragana arborescens,Q15502974|Q162124,Q15502974,2,Aspalathus caragana,Aspalathus,species of plant
12126498-n,valuable forage grass of western United States,i100765,western wheatgrass|bluestem wheatgrass|Agropyron smithii,Q15510778|Q39551241,Q15510778,2,Elymus smithii,Elymus,species of plant
12129882-n,used by Maoris for thatching,i100782,toetoe|toitoi|Arundo conspicua|Chionochloa conspicua,Q15512764|Q39541903,Q15512764,2,Chionochloa conspicua,Chionochloa,species of plant
12844813-n,weakly climbing European perennial with white or pink flowers; naturalized in North America and an invasive weed,i104194,field bindweed|wild morning-glory|Convolvulus arvensis,Q15517213|Q111346,Q15517213,2,Strophocaulos arvensis,Strophocaulos,species of plant
11778952-n,African tree supposed to mark healthful regions,i99111,fever tree|Acacia xanthophloea,Q15525187|Q1499421,Q15525187,2,Vachellia xanthophloea,Vachellia,species of plant
12784289-n,common nonpoisonous shrub of eastern North America with waxy compound leaves and green paniculate flowers followed by red berries,i103905,smooth sumac|scarlet sumac|vinegar tree|Rhus glabra,Q15525206|Q3177997,Q15525206,2,Schmaltzia glabra,Schmaltzia,species of plant
12597200-n,European purple-flowered with slender stems; occurs as a weed in hedges,i102987,bush vetch|Vicia sepium,Q15525238|Q148570,Q15525238,2,Atossa sepium,Atossa,species of plant
12784768-n,evergreen shrub of southeastern United States with spikes of reddish yellow flowers and glandular hairy fruits,i103907,sugar-bush|sugar sumac|Rhus ovata,Q15525262|Q7321569,Q15525262,2,Schmaltzia ovata,Schmaltzia,species of plant
11652436-n,relatively low wide-spreading endemic on Guadalupe Island; cultivated for its bluish foliage,i98498,Guadalupe cypress|Cupressus guadalupensis,Q92734748|Q1552597,Q1552597,2,Cupressus guadalupensis,Cupressus,species of plant
12601534-n,having deep purple flowers,i103005,Chinese wistaria|Wisteria chinensis,Q15527909|Q39151976,Q15527909,2,Kraunhia chinensis,Kraunhia,species of plant
12548614-n,small semi-evergreen broad-spreading tree of eastern South Africa with orange-scarlet flowers and small coral-red seeds; yields a light soft wood used for fence posts or shingles,i102758,kaffir boom|Cape kafferboom|Erythrina caffra,Q15530188|Q1955238,Q15530188,2,Corallodendron afrum,Corallodendron,species of plant
12587995-n,desert shrub of Syria and Arabia having small white flowers; constitutes the juniper of the Old Testament; sometimes placed in genus Genista,i102942,retem|raetam|juniper bush|juniper|Retama raetam|Genista raetam,Q15531393|Q2910823,Q15531393,2,Lygos raetam,Lygos,species of plant
