wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid,wn_qid_candidate,qid_count_original,wd_label,wd_parent,wd_description
11854741-n,fleshy maritime plant having fleshy stems with rudimentary scalelike leaves and small spikes of minute flowers; formerly used in making glass,i99474,glasswort|samphire|Salicornia europaea,Q91347795|Q27943,Q91347795,2,Salicornia ×marshallii,Salicornia,species of plant
12436100-n,bulbous iris of western Mediterranean region having usually violet-purple flowers,i102245,Spanish iris|xiphium iris|Iris xiphium,Q91363501|Q1505610,Q91363501,2,Xiphion xiphium,Xiphion,
12812550-n,climbing shrub with adhesive aerial roots having opposite leaves and small white flowers in terminal cymes; Himalayas to Taiwan and Japan,i104043,climbing hydrangea|Schizophragma hydrangeoides,Q92191445|Q11287263,Q92191445,2,Hydrangea hydrangeoides,Hydrangea,species of plant in the genus Hydrangea
12863904-n,mint-scented perennial of central and southern Europe,i104289,common calamint|Calamintha sylvatica|Satureja calamintha officinalis,Q92346932|Q32979672,Q92346932,2,Clinopodium nepeta subsp. sylvaticum,,
11803347-n,putrid-smelling aroid of southeastern Asia (especially the Philippines) grown for its edible tuber,i99221,pungapung|telingo potato|elephant yam|Amorphophallus paeonifolius|Amorphophallus campanulatus,Q9248988|Q37247507,Q9248988,2,Amorphophallus paeoniifolius var. campanulatus,Amorphophallus paeoniifolius,variety of plant
12647639-n,common shrub or small tree of the eastern United States having few thorns and white flowers in corymbs followed by bright orange-red berries,i103238,scarlet haw|Crataegus biltmoreana,Q92527415|Q5182549,Q92527415,2,Crataegus intricata var. biltmoreana,Crataegus intricata,
12456595-n,European leek naturalized in Great Britain; leaves are triangular,i102339,three-cornered leek|triquetrous leek|Allium triquetrum,Q92558489|Q1532690,Q92558489,2,Nectaroscordum triquetrum,Nectaroscordum,
12456154-n,pungent Old World weedy plant,i102336,wild garlic|wood garlic|ramsons|Allium ursinum,Q92558539|Q130882,Q92558539,2,Nectaroscordum ursinum,Nectaroscordum,
12115929-n,trailing European evergreen with yellow flowers,i100717,yellow pimpernel|Lysimachia nemorum,Q92620183|Q162496,Q92620183,2,Anagallis nemorum,Anagallis,species of plant
01947784-n,serious garden pest having a brown shell with paler zigzag markings; nearly cosmopolitan in distribution,i45557,brown snail|Helix aspersa|Cornu aspersum,Q22019793|Q927080,Q927080,2,Helix aspersa,Helix,species of mollusc
11652436-n,relatively low wide-spreading endemic on Guadalupe Island; cultivated for its bluish foliage,i98498,Guadalupe cypress|Cupressus guadalupensis,Q92734748|Q1552597,Q92734748,2,Neocupressus guadalupensis,Neocupressus,
12064142-n,Eurasian orchid with showy pink or purple flowers in a loose spike,i100469,male orchis|early purple orchid|Orchis mascula,Q92740849|Q157435,Q92740849,2,Orchis mascula f. albiflora,Orchis mascula,
12435594-n,a common iris of the eastern United States having blue or blue-violet flowers; root formerly used medicinally,i102242,blue flag|Iris versicolor,Q92937504|Q164844,Q92937504,2,Limniris versicolor,Limniris,
12435777-n,similar to blue flag; the eastern United States,i102243,southern blue flag|Iris virginica,Q92937551|Q7934335,Q92937551,2,Limniris virginica,Limniris,
12932200-n,annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes,i104617,tomatillo|jamberry|Mexican husk tomato|Physalis ixocarpa,Q92954215|Q15532679,Q92954215,2,Physalis philadelphica subsp. ixocarpa,Physalis philadelphica,
11682360-n,predominant yew in Europe; extraordinarily long-lived and slow growing; one of the oldest species in the world,i98648,Old World yew|English yew|Taxus baccata,Q92968108|Q179729,Q92968108,2,Taxus canadensis var. adpressa,Taxus canadensis,
11683036-n,small bushy yew of northern Florida having spreading branches and very narrow leaves,i98651,Florida yew|Taxus floridana,Q92968239|Q1430041,Q92968239,2,Taxus globosa var. floridana,Taxus globosa,
12527496-n,perennial Eurasian herb having heads of red or yellow flowers and common in meadows and pastures; formerly used medicinally for kidney disorders,i102656,kidney vetch|Anthyllis vulneraria,Q92988397|Q126256,Q92988397,2,Anthyllis vulneraria subsp. versicolor,Anthyllis vulneraria,
12153668-n,tough Asiatic grass whose culms are used for ropes and baskets,i100912,munj|munja|Saccharum bengalense|Saccharum munja,Q93077342|Q12845384|Q3630865,Q93077342,3,Tripidium bengalense,Tripidium,species of plant
11746738-n,Eurasian herb with solitary nodding fragrant white flowers,i98957,snowdrop anemone|snowdrop windflower|Anemone sylvestris,Q93124828|Q157358,Q93124828,2,,,
12434147-n,iris with purple flowers and foul-smelling leaves; southern and western Europe and North Africa,i102233,stinking iris|gladdon|gladdon iris|stinking gladwyn|roast beef plant|Iris foetidissima,Q93186409|Q2484930,Q93186409,2,Xyridion foetidissimum,Xyridion,
12498488-n,Mexican plant used especially for making tequila,i102533,Agave tequilana,Q93242898|Q311065,Q93242898,2,Agave angustifolia subsp. tequilana,Agave angustifolia,
11778320-n,tropical American thorny shrub or small tree; fragrant yellow flowers used in making perfumery,i99108,huisache|cassie|mimosa bush|sweet wattle|sweet acacia|scented wattle|flame tree|Acacia farnesiana,Q67453964|Q932729,Q932729,2,Acacia farnesiana,Acacia,species of plant
12083282-n,orchid growing along streams or ponds of western North America having leafy stems and 1 greenish-brown and pinkish flower in the axil of each upper leaf,i100559,stream orchid|chatterbox|giant helleborine|Epipactis gigantea,Q93296656|Q2221912,Q93296656,2,Arthrochilium giganteum,Arthrochilium,
11644266-n,cedar of Lebanon and northwestern Syria that attains great age and height,i98459,cedar of Lebanon|Cedrus libani,Q93301790|Q61105,Q93301790,2,Cedrus libani f. glauca,Cedrus libani,
11872497-n,cactus having yellow flowers and purple fruits,i99558,nopal|Opuntia lindheimeri,Q93313162|Q14955003,Q93313162,2,Opuntia engelmannii subsp. lindheimeri,Opuntia engelmannii,
12084890-n,European orchid having dense spikes of fragrant pink or lilac or red flowers with conspicuous spurs,i100566,fragrant orchid|Gymnadenia conopsea,Q93377046|Q157442,Q93377046,2,Gymnadenia conopsea subsp. serotina,Gymnadenia conopsea,
11631274-n,five-needled pinon of southern California and northern Baja California having (sometimes three-needled or four-needled showing hybridization from Pinus californiarum),i98396,Parry's pinyon|Pinus quadrifolia|Pinus parryana,Q93383212|Q3506492,Q93383212,2,Pinus cembroides var. quadrifolia,Pinus cembroides,
12968304-n,common North American shrub with reddish purple twigs and white flowers,i104796,red osier|red osier dogwood|red dogwood|American dogwood|redbrush|Cornus stolonifera,Q93392546|Q50831688,Q93392546,2,Swida alba subsp. stolonifera,Cornus alba,
12434834-n,European iris having soft lilac-blue flowers,i102237,Dalmatian iris|Iris pallida,Q93431036|Q161347,Q93431036,2,Iris germanica subsp. pallida,Iris x germanica,
12163732-n,hard red wheat grown especially in Russia and Germany; in United States as stock feed,i100964,emmer|starch wheat|two-grain spelt|Triticum dicoccum,Q93448071|Q167339,Q93448071,2,Triticum turgidum subsp. georgicum,Triticum turgidum,
11731296-n,American deciduous magnolia having large leaves and fruit like a small cucumber,i98882,cucumber tree|Magnolia acuminata,Q93448763|Q1249099,Q93448763,2,Yulania acuminata,Yulania,
12365354-n,evening-opening primrose of south central United States,i101907,Missouri primrose|Ozark sundrops|Oenothera macrocarpa,Q15330425|Q9373395,Q9373395,2,Oenothera macrocarpa,Oenothera,species of plant
